bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Lauzane Paulista,300,4,5,4,1150000.0,1.15,3833.3333333333335,Rua João Antunes Carvalho,2435100.0,355030.851000041,MANDAQUI,1.0,0.0,284.0,834.0,2.94,1.42,3758.35,14054231.53,4027.81,13976239.89,2256.57,9413528.51,3121.52,10323524.68
Jardim Santa Maria,135,3,3,2,550000.0,0.55,4074.074074074074,Rua Timbé,3576070.0,355030.891000037,VILA MATILDE,1.0,0.0,257.0,773.0,3.01,2.33,728.47,839657.8,1386.79,684353.49,718.88,761673.8,1349.59,578239.82
Vila Nova,180,4,2,4,420000.0,0.42,2333.333333333333,Rua João Tauler,3288050.0,355030.876000281,SAPOPEMBA,1.0,0.0,212.0,743.0,3.5,2.2,1265.35,1203636.64,1404.47,1140248.72,752.7,945134.09,1220.84,961476.11
Itaberaba,300,3,5,4,2232000.0,2.232,7440.0,Rua Alice Garcia Vega,2737050.0,355030.829000035,FREGUESIA DO Ó,1.0,0.0,222.0,697.0,3.14,1.91,2060.84,5698659.05,2486.45,5817953.67,1247.96,3558698.72,2029.15,4202867.41
Santo Amaro,772,7,7,6,2700000.0,2.7,3497.4093264248704,Rua Graham Bell,4737030.0,355030.865000169,RAPOSO TAVARES,1.0,0.0,107.0,376.0,3.51,2.31,1026.36,272168.67,1143.96,167733.64,735.67,367088.08,1086.94,159622.46
Vila Nova Conceição,605,3,3,4,4190000.0,4.19,6925.619834710744,Avenida Antônio Joaquim de Moura Andrade,4507000.0,355030.832000034,MOEMA,1.0,0.0,156.0,547.0,3.51,3.5,8635.93,90965068.74,9041.64,91574355.65,4566.24,46412139.27,6178.57,52855685.76
Jardim da Saúde,110,3,2,5,860000.0,0.86,7818.181818181818,Rua Marcos Fernandes,4149120.0,355030.827000003,CURSINO,1.0,0.0,115.0,381.0,3.31,1.73,4300.26,20720679.76,4709.81,20765609.58,2255.46,12008962.82,3354.52,14183191.2
Jardim Santo Antônio,250,4,4,4,650000.0,0.65,2600.0,Rua José Leão dos Santos,8032280.0,355030.884000138,VILLA CURUÇA,1.0,0.0,281.0,1009.0,3.59,2.6,874.56,486946.58,963.73,450516.05,555.31,472766.83,913.68,450390.84
Vila Mazzei,120,2,1,1,490000.0,0.49,4083.3333333333335,Rua Jaime Pinto Ferreira,2308150.0,355030.882000081,TUCURUVI,1.0,0.0,219.0,698.0,3.19,2.44,1809.95,2458741.68,1887.51,2417507.22,1152.51,1880141.51,1567.01,1906867.65
Vila Madalena,170,2,2,1,1485000.0,1.485,8735.29411764706,Rua Aldo de Azevedo,5453030.0,355030.802000006,ALTO DE PINHEIROS,1.0,0.0,206.0,645.0,3.13,2.46,6052.14,44779104.68,7890.76,43868986.68,3670.99,91659087.33,6182.71,138974972.05
Jardim Ivana,250,3,1,5,650000.0,0.65,2600.0,Rua Antônio Wey,5364110.0,355030.872000176,SÃO LUCAS,1.0,0.0,192.0,620.0,3.23,1.87,774.51,1005209.03,1126.56,1065976.71,722.53,759236.61,1069.04,752899.7
Vila Campo Grande,110,3,3,2,550000.0,0.55,5000.0,Rua João Francisco de Moura,4455170.0,355030.816000016,CAMPO GRANDE,1.0,0.0,205.0,632.0,3.08,1.97,1445.31,4810823.48,1936.53,5499116.66,1136.53,3673253.32,1821.07,4641869.24
Vila Gomes Cardim,120,3,2,2,1100000.0,1.1,9166.666666666666,Rua Serra de Botucatu,3317000.0,355030.880000002,TATUAPE,1.0,0.0,21.0,64.0,3.05,1.95,1936.19,1372854.76,2033.0,1237937.89,1289.68,1747399.9,1889.53,1419066.45
Bela Aliança,502,4,6,4,2985000.0,2.985,5946.215139442231,Rua Andrade Neves,5087020.0,355030.848000085,LAPA,1.0,0.0,146.0,452.0,3.1,2.16,5458.15,42556372.36,5816.72,43271598.63,2570.14,24407277.4,4408.94,33800409.46
Vila Albertina,268,3,6,4,1700000.0,1.7,6343.2835820895525,Rua Japeacaba,2373050.0,355030.881000047,TREMEMBÉ,1.0,0.0,199.0,668.0,3.36,1.91,6193.29,35062790.75,6626.16,34642931.22,2934.71,19550938.86,4317.0,22800200.81
Santo Amaro,355,4,7,4,3100000.0,3.1,8732.394366197183,Rua Senador Vergueiro,4739060.0,355030.871000024,SANTO AMARO,1.0,0.0,169.0,533.0,3.15,2.25,7391.6,118341101.6,11566.48,137066576.29,4188.71,61439066.94,8156.06,87378857.45
Cidade Jardim,1195,4,4,6,8700000.0,8.7,7280.334728033473,Rua dos Plátanos,5675110.0,355030.85400013,MORUMBI,1.0,0.0,72.0,202.0,2.81,2.81,30635.97,839016438.48,30635.97,839016438.48,14391.5,532816435.38,19086.6,617631151.19
Vila Libanesa,320,5,4,6,890000.0,0.89,2781.25,Rua Domingos Menezes,3738060.0,355030.818000068,CANGAIBA,1.0,0.0,179.0,553.0,3.09,2.07,1542.67,3921349.93,1673.56,4035705.42,966.98,2052353.2,1372.76,2357470.51
Cidade Domitila,180,3,3,4,550000.0,0.55,3055.555555555556,Rua Manuel Monteiro,4387150.0,355030.838000301,JABAQUARA,1.0,0.0,258.0,848.0,3.29,2.99,829.69,858501.07,1126.63,831065.84,789.26,752718.11,1123.54,695832.49
Vila Nova Savoia,325,4,6,3,1650000.0,1.65,5076.923076923077,Rua Serra da Sentinela,3531050.0,355030.891000009,VILA MATILDE,1.0,0.0,146.0,446.0,3.05,2.0,1185.5,3181623.91,1944.75,3749110.37,883.66,2272893.33,1712.36,2988801.14
Jardim Maria Estela,110,2,1,1,445000.0,0.445,4045.4545454545455,Avenida Maria Estela,4180010.0,355030.868000021,SACOMÃ,1.0,0.0,250.0,744.0,2.98,1.94,1982.3,5551520.84,2173.58,5671970.99,1345.33,3426710.56,1781.36,3761269.54
Parque São Rafael,125,2,1,2,425000.0,0.425,3400.0,Rua Professor Ciro Formicola,8311240.0,355030.875000015,SÃO RAFAEL,1.0,0.0,175.0,602.0,3.44,2.36,1291.3,1408213.75,1430.24,1360715.55,871.9,1056974.64,1269.95,1033949.26
Vila Bandeirantes,120,2,3,2,500000.0,0.5,4166.666666666667,Rua Elias Gannam,2552040.0,355030.850000059,LIMÃO,1.0,0.0,200.0,627.0,3.14,2.45,1607.91,3544302.37,1719.69,3598762.3,1066.85,2344753.15,1523.29,2653428.56
Parque Colonial,138,3,1,3,1060000.0,1.06,7681.159420289855,Rua Zacarias de Gois,4610000.0,355030.815000045,CAMPO BELO,1.0,0.0,218.0,705.0,3.23,2.04,5637.85,44595519.87,6679.63,45884325.22,2874.27,24700686.3,4688.06,31802821.38
Vila Madalena,401,5,9,4,3890000.0,3.89,9700.74812967581,Rua Gregório Paes de Almeida,5450000.0,355030.802000001,ALTO DE PINHEIROS,1.0,0.0,157.0,519.0,3.31,2.44,12262.45,159870161.44,12501.32,159999050.55,5832.73,100963455.68,7999.64,121194261.04
Cidade Jardim,420,4,4,4,2200000.0,2.2,5238.095238095239,Avenida das Magnólias,5674000.0,355030.854000128,MORUMBI,1.0,0.0,85.0,316.0,3.72,2.35,9390.13,203454625.47,17351.33,238574929.78,6830.71,976628790.68,13566.54,1436259424.69
Vila Califórnia,260,4,4,4,1250000.0,1.25,4807.692307692308,Rua Mata Machado,3215000.0,355030.893000137,VILA PRUDENTE,1.0,0.0,210.0,660.0,3.14,2.32,1650.41,3210153.34,1750.44,3229719.02,988.35,1960474.75,1429.23,2205484.21
Jardim das Imbuias,200,3,5,3,1250000.0,1.25,6250.0,Rua Alfonso de Albuquerque,4829290.0,355030.823000091,CIDADE DUTRA,1.0,0.0,138.0,436.0,3.16,2.16,1470.88,3077006.24,2159.37,3030089.72,1064.69,2106399.68,1867.96,2195517.12
Vila Tramontano,463,4,6,6,2200000.0,2.2,4751.619870410367,Rua Vicente Góes e Aranha,5691010.0,355030.854000052,MORUMBI,1.0,0.0,132.0,452.0,3.42,2.43,15004.92,616407246.56,18685.38,699615807.95,9620.39,369846826.81,14052.64,478343180.8
Vila Nancy,132,2,1,1,390000.0,0.39,2954.5454545454545,Avenida Presidente Tancredo Neves,4287100.0,355030.834000125,IPIRANGA,1.0,0.0,337.0,1053.0,3.12,2.91,1967.79,28457422.84,2798.08,38182595.38,1186.1,11433866.09,2082.16,18218486.13
Parada Inglesa,154,2,4,4,650000.0,0.65,4220.779220779221,Rua Antônio Assumpção,2248040.0,355030.882000034,TUCURUVI,1.0,0.0,243.0,722.0,2.97,1.8,2573.76,25697983.13,2779.66,27188111.43,1710.76,12258286.0,2288.23,15080666.49
Jardim Leonor Mendes de Barros,300,4,4,3,1600000.0,1.6,5333.333333333333,Rua Lauro Luchesi,2348090.0,355030.881000248,TREMEMBÉ,1.0,0.0,139.0,417.0,3.0,2.14,5766.91,302470046.64,6262.51,325540139.18,3016.26,119438879.7,4225.02,162357591.83
Jardim Iva,250,2,2,2,370000.0,0.37,1480.0,Rua Artur Montenegro,3921050.0,355030.876000216,SAPOPEMBA,1.0,0.0,363.0,1174.0,3.23,2.45,988.94,631545.84,1125.34,564943.68,633.18,522934.47,1002.37,457677.19
Jardim Amália,120,2,2,1,130000.0,0.13,1083.3333333333333,Avenida Dom Rodrigo Sanches,5892360.0,355030.819000263,CAPÃO REDONDO,1.0,0.0,318.0,1098.0,3.45,2.6,743.79,535034.66,1095.02,402470.26,486.14,373723.62,943.38,293707.21
