bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Campo Belo,100,2,1,1,430000.0,0.43,4300.0,Rua Antônio de Macedo Soares,4607000.0,355030.815000089,CAMPO BELO,1.0,0.0,114.0,241.0,2.11,1.38,7739.05,91362375.57,9286.86,95302016.03,5579.15,68636381.63,8151.35,79383276.12
Alto de Pinheiros,400,4,3,4,3450000.0,3.45,8625.0,Rua Carlos Rath,5462030.0,355030.80200006,ALTO DE PINHEIROS,1.0,0.0,177.0,572.0,3.23,2.02,10595.5,85420165.04,11648.47,81620039.69,6028.0,57990851.54,8262.92,61032318.85
Vila Sônia,628,4,6,8,4500000.0,4.5,7165.605095541401,Rua Doutor José Maria Whitaker,5622000.0,355030.894000254,VILA SÔNIA,1.0,0.0,131.0,442.0,3.37,1.85,5651.91,34011515.56,7632.99,30778171.18,3257.62,22806161.05,5739.61,25950217.67
Vila Gustavo,120,2,3,1,570000.0,0.57,4750.0,Rua Carataca,2266020.0,355030.882000004,TUCURUVI,1.0,0.0,213.0,592.0,2.78,2.09,1372.7,3373439.97,2059.05,3648871.61,1088.02,2282274.16,1722.43,2521005.53
Jardim Guedala,448,3,5,4,4500000.0,4.5,10044.642857142857,Rua Araripina,5603030.0,355030.854000123,MORUMBI,1.0,0.0,90.0,306.0,3.4,2.49,17582.33,384517384.38,19535.93,389133284.44,6386.15,187147794.5,11567.36,279633410.7
Sumaré,270,3,3,4,1950000.0,1.95,7222.222222222223,Avenida Doutor Arnaldo,1246000.0,355030.860000054,PERDIZES,1.0,0.0,248.0,692.0,2.79,1.94,5619.62,176369460.56,6277.77,192968371.83,3576.52,104722220.29,5056.46,140654895.61
Parque Jabaquara,150,3,2,2,650000.0,0.65,4333.333333333333,Rua Haroldo Paranhos,4357060.0,355030.81500003,CAMPO BELO,1.0,0.0,129.0,445.0,3.45,3.59,2939.34,18403434.91,3869.13,20650370.63,1655.93,8643677.22,2757.57,11367607.74
Vila da Saúde,90,2,2,1,535000.0,0.535,5944.444444444444,Rua Marquês de Herval,4146010.0,355030.827000046,CURSINO,1.0,0.0,223.0,568.0,2.55,1.38,4270.38,17597306.8,4556.43,17472089.71,2852.15,12732506.79,3599.47,13380269.58
Vila Gomes Cardim,148,2,2,2,980000.0,0.98,6621.621621621622,Rua Boa Sorte,3310015.0,355030.880000019,TATUAPE,1.0,0.0,262.0,734.0,2.8,1.47,4046.1,20757052.71,4274.51,20953277.67,2599.32,14581004.56,3426.82,16390601.36
Vila Madalena,312,3,4,2,3200000.0,3.2,10256.410256410256,Rua Aecri,5453020.0,355030.802000054,ALTO DE PINHEIROS,1.0,0.0,223.0,579.0,2.6,1.52,4759.57,20427497.68,5006.53,20250170.03,3076.22,15276772.29,4206.26,16137595.52
Paraíso do Morumbi,240,3,3,8,850000.0,0.85,3541.6666666666665,Rua Itapacurai,5705240.0,355030.883000166,VILA ANDRADE,1.0,0.0,127.0,383.0,3.02,1.67,3226.4,12690237.62,3658.51,12810023.93,2358.85,35750345.75,3272.56,46651231.56
Pacaembu,372,3,6,5,2600000.0,2.6,6989.247311827957,Rua Livreiro Saraiva,1237020.0,355030.860000078,PERDIZES,1.0,0.0,156.0,451.0,2.89,1.35,9347.5,100052487.26,9657.02,100378603.73,4717.77,61197850.63,6836.9,74241201.96
Vila Mariana,213,3,3,2,1690000.0,1.69,7934.2723004694835,Rua Professor Frontino Guimarães,4017050.0,355030.890000012,VILA MARIANA,1.0,0.0,196.0,564.0,2.88,3.9,7236.38,343827404.13,7923.64,371188706.99,5331.09,343407363.98,7402.68,461837470.06
Jardim Paulista,562,4,4,12,8000000.0,8.0,14234.875444839858,Rua Conselheiro Zacarias,1429020.0,355030.845000071,JARDIM PAULISTA,1.0,0.0,184.0,569.0,3.09,1.91,9171.7,779252771.58,9643.39,814984141.96,4397.9,304678101.83,6694.73,448849003.65
Jardim Caravelas,142,3,3,2,2380000.0,2.38,16760.563380281692,Rua Ferreira do Alentejo,4728060.0,355030.871000067,SANTO AMARO,1.0,0.0,211.0,652.0,3.09,1.83,4397.99,109259677.89,4686.74,115109509.7,2425.84,41338946.62,3278.6,53100604.59
Jardim da Saúde,110,3,2,5,914000.0,0.914,8309.09090909091,Rua Marcos Fernandes,4149120.0,355030.827000003,CURSINO,1.0,0.0,115.0,381.0,3.31,1.73,4300.26,20720679.76,4709.81,20765609.58,2255.46,12008962.82,3354.52,14183191.2
Vila Gumercindo,487,3,2,3,1500000.0,1.5,3080.082135523614,Rua Assungui,4131000.0,355030.827000073,CURSINO,1.0,0.0,294.0,787.0,2.68,2.4,3435.5,8461306.36,3686.27,8153404.39,2244.7,6493429.83,2912.58,6480179.01
Jardim Guedala,550,4,2,6,4400000.0,4.4,8000.0,Avenida George Saville Dodd,5608020.0,355030.854000008,MORUMBI,1.0,0.0,106.0,371.0,3.5,2.77,15879.25,124018374.66,16184.62,121436217.33,6313.35,86798000.32,9256.02,100073596.83
Cidade Jardim,460,3,3,4,4500000.0,4.5,9782.608695652174,Rua das Jabuticabeiras,5674010.0,355030.854000128,MORUMBI,1.0,0.0,78.12087912087912,262.9230769230769,3.4009890109890097,2.7280219780219777,14868.260659340662,1325248094.5393405,20082.94197802198,1374996829.42,7847.992417582417,976628790.68,13973.584175824177,1436259424.69
Vila Hamburguesa,180,3,3,1,710000.0,0.71,3944.444444444444,Rua Doutor Avelino Chaves,5318040.0,355030.888000028,VILA LEOPOLDINA,1.0,0.0,228.0,639.0,2.8,2.32,1993.76,5146773.65,2484.03,5194795.66,1558.52,4130214.23,2088.56,4428516.55
Vila Bela,92,3,2,2,600000.0,0.6,6521.739130434783,Rua Gradau,3201010.0,355030.893000052,VILA PRUDENTE,1.0,0.0,212.0,700.0,3.3,2.73,1086.69,2032650.65,1567.2,2179388.2,695.63,1352298.02,1353.72,1741978.69
Perdizes,200,3,3,3,1630000.0,1.63,8150.0,Rua dos Caetés,5016080.0,355030.860000014,PERDIZES,1.0,0.0,212.0,540.0,2.55,1.48,5295.89,33093303.87,5817.24,33319506.86,4130.0,23532086.78,5118.29,24106299.6
Cambuci,156,3,2,3,700000.0,0.7,4487.179487179487,Rua Scuvero,1527000.0,355030.849000039,LIBERDADE,1.0,0.0,347.0,876.0,2.52,1.72,1724.11,3855515.98,1981.02,3921299.82,1341.34,2610970.78,1691.56,2700420.76
Indianópolis,200,3,4,4,1990000.0,1.99,9950.0,Rua Ubaíra,4517140.0,355030.832000153,MOEMA,1.0,0.0,78.0,204.0,2.62,1.69,5668.62,33296035.85,6408.0,32895211.38,3261.49,29216452.88,4665.44,35283185.17
Jardim Paulista,1060,5,5,4,30000000.0,30.0,28301.88679245283,Rua Maestro Elias Lobo,1433000.0,355030.835000146,ITAIM BIBI,1.0,0.0,181.0,429.0,2.37,1.41,3406.05,44071360.24,5554.01,60078533.48,2342.24,23932872.5,4008.06,34322176.76
Cupecê,76,3,2,2,430000.0,0.43,5657.894736842105,Rua Ailson Simões,4652228.0,355030.822000144,CIDADE ADEMAR,1.0,0.0,222.0,734.0,3.31,3.02,2531.64,12065092.97,2715.09,12443113.61,1381.9,6560006.48,2011.36,8285720.43
Sumaré,131,3,2,4,2800000.0,2.8,21374.04580152672,Rua Cayowaá,5018000.0,355030.860000026,PERDIZES,1.0,0.0,235.0,629.0,2.68,1.66,5918.95,34654605.1,6380.52,34410858.22,4667.8,34672320.48,6077.98,36580516.51
Vila Morumbi,540,4,3,2,3850000.0,3.85,7129.62962962963,Rua Nabih Assad Abdalla,5688040.0,355030.854000062,MORUMBI,1.0,0.0,80.0,289.0,3.61,3.1,14198.26,392816838.73,16703.84,420694694.02,5935.7,168439345.11,9025.04,228576859.57
Jardim Umuarama,185,3,3,2,1000000.0,1.0,5405.405405405405,Rua Manuel Alonso Medina,4650030.0,355030.822000232,CIDADE ADEMAR,1.0,0.0,336.0,962.0,2.86,2.0,2939.29,10583637.75,3671.38,10531730.9,1963.41,6792677.1,2938.46,7301712.84
Jardim Luzitânia,367,4,5,6,7000000.0,7.0,19073.56948228883,Rua D,2360171.0,355030.881000177,TREMEMBÉ,1.0,0.0,293.0,956.0,3.26,2.39,949.62,504225.96,1038.2,459125.9,592.41,401785.07,904.09,331257.19
Vila Califórnia,360,3,3,3,1590000.0,1.59,4416.666666666667,Rua Napagoé,3212040.0,355030.893000101,VILA PRUDENTE,1.0,0.0,192.0,564.0,2.94,1.61,1380.65,1567537.48,1506.16,1520732.01,937.2,1124462.36,1297.06,1089367.72
Boaçava,407,4,6,2,3950000.0,3.95,9705.159705159704,Avenida Bagiru,5469020.0,355030.802000045,ALTO DE PINHEIROS,1.0,0.0,168.0,521.0,3.1,2.46,10049.17,43751266.37,10486.09,41055165.22,5068.27,37622585.5,7507.46,37416365.8
Jardim Guedala,330,3,4,4,1850000.0,1.85,5606.060606060606,Rua Doutor Queirós Guimarães,5609000.0,355030.854000008,MORUMBI,1.0,0.0,106.0,371.0,3.5,2.77,15879.25,124018374.66,16184.62,121436217.33,6313.35,86798000.32,9256.02,100073596.83
Indianópolis,340,4,5,3,1950000.0,1.95,5735.294117647059,Rua Iraúna,4518060.0,355030.832000131,MOEMA,1.0,0.0,208.0,626.0,3.01,1.85,6999.68,43383137.37,7390.52,42914619.2,3810.66,33281833.96,5342.22,38488801.87
Jardim Paulistano,305,4,5,2,4250000.0,4.25,13934.426229508195,Travessa República do Suriname,1443090.0,355030.862000065,PINHEIROS,1.0,0.0,131.0,355.0,2.71,2.28,6334.17,89367324.0,6482.63,90508393.81,3969.65,45629748.25,4796.66,51190115.59
Sumaré,460,5,4,4,2500000.0,2.5,5434.782608695652,Rua Votuporanga,1256000.0,355030.860000056,PERDIZES,1.0,0.0,213.0,657.0,3.08,2.09,8977.31,79991739.5,9560.84,79610301.95,4630.72,46265432.67,6412.59,52656360.51
Jardim Guedala,618,4,5,5,5500000.0,5.5,8899.676375404531,Rua Itavera,5603060.0,355030.854000123,MORUMBI,1.0,0.0,90.0,306.0,3.4,2.49,17582.33,384517384.38,19535.93,389133284.44,6386.15,187147794.5,11567.36,279633410.7
Jardim Paulista,505,4,5,4,10000000.0,10.0,19801.980198019803,Rua Maestro Elias Lobo,1433000.0,355030.835000146,ITAIM BIBI,1.0,0.0,181.0,429.0,2.37,1.41,3406.05,44071360.24,5554.01,60078533.48,2342.24,23932872.5,4008.06,34322176.76
Campo Belo,166,3,2,2,850000.0,0.85,5120.481927710844,Rua João Álvares Soares,4609000.0,355030.815000097,CAMPO BELO,1.0,0.0,181.0,517.0,2.86,1.47,3942.82,22463540.35,4574.68,23177477.96,3010.16,18406983.6,4136.95,20641771.92
Brooklin Paulista,170,3,4,2,1300000.0,1.3,7647.058823529412,Rua Conceição de Monte Alegre,4563060.0,355030.815000045,CAMPO BELO,1.0,0.0,192.73880597014926,553.1865671641791,2.905149253731343,1.8296268656716415,5161.970746268657,97045170.24388058,6691.670373134329,132140162.58738811,3135.925447761194,49373301.05783582,5017.426343283581,75159428.21455224
Jardim Paulista,196,3,2,1,2600000.0,2.6,13265.30612244898,Rua Maestro Chiaffarelli,1432030.0,355030.826000015,CONSOLAÇÃO,1.0,0.0,268.0,539.0,2.01,1.34,3289.11,9869447.31,3497.94,9765180.63,2897.36,31070158.31,3361.96,34498090.17
Vila Ipojuca,146,2,2,1,1190000.0,1.19,8150.684931506849,Rua Croata,5056020.0,355030.84800002,LAPA,1.0,0.0,321.0,924.0,2.88,2.59,5063.78,19311697.35,5209.85,19107104.28,3128.69,14434998.16,3982.4,14974814.53
Vila Pompéia,165,3,5,2,1245000.0,1.245,7545.454545454545,Rua Raul Pompéia,5281090.0,355030.860000207,PERDIZES,1.0,0.0,211.0,499.0,2.36,1.18,5008.12,16466986.02,5336.94,15789859.97,3596.96,15607303.11,4610.19,15331776.74
Ipiranga,150,2,3,2,550000.0,0.55,3666.6666666666665,Rua Padre Marchetti,4266000.0,355030.834000008,IPIRANGA,1.0,0.0,153.0,479.0,3.13,2.17,3654.35,12219165.44,4022.42,11967554.3,1880.1,7264464.02,2958.02,8244172.64
Vila Romana,135,4,2,3,1350000.0,1.35,10000.0,Rua Caio Graco,5044000.0,355030.848000039,LAPA,1.0,0.0,165.0,376.0,2.28,1.6,2133.6,4577476.63,2286.0,4555912.82,1664.9,3719213.45,2100.52,3777526.52
Higienópolis,355,4,5,3,3350000.0,3.35,9436.61971830986,Rua Bahia,4338150.0,355030.826000021,CONSOLAÇÃO,1.0,0.0,163.0,417.0,2.56,2.03,10924.98,374924775.47,12719.79,413968739.96,5914.95,208941124.4,9160.96,294213989.34
Alto de Pinheiros,337,4,5,12,2389000.0,2.389,7089.020771513353,Avenida Antônio Batuira,5462050.0,355030.802000039,ALTO DE PINHEIROS,1.0,0.0,123.0,404.0,3.28,2.07,13292.7,157057959.39,13739.51,156190934.01,6599.65,95573819.0,9219.74,109412303.36
Vila Mariana,263,4,3,2,2250000.0,2.25,8555.133079847908,Rua Morgado de Mateus,4015050.0,355030.890000126,VILA MARIANA,1.0,0.0,257.0,721.0,2.81,1.4,10133.44,337506323.49,10375.68,343083083.08,5979.47,154768733.16,7417.15,181365796.6
Perdizes,205,3,3,1,1000000.0,1.0,4878.048780487805,Rua Palestra Itália,4870060.0,355030.85500014,PARELHEIROS,3.0,0.0,242.0,744.0,3.07,1.74,2528.74,5332360.64,2637.74,5274446.72,1536.38,3730969.07,2126.24,3909607.98
Morumbi,285,4,3,3,3150000.0,3.15,11052.631578947368,Avenida Morumbi,5606010.0,355030.854000081,MORUMBI,1.0,0.0,124.0,430.0,3.47,2.09,5748.01,57721799.0,8485.15,62034599.48,2666.14,29503071.67,5373.3,44993110.46
Alto da Lapa,385,3,4,4,2850000.0,2.85,7402.597402597403,Rua Lomas Valentinas,5084010.0,355030.877000109,SAÚDE,1.0,0.0,232.0,751.0,3.24,2.23,1122.0,1850542.19,1399.48,1920243.7,937.96,1605658.43,1326.01,1755704.9
Vila Deodoro,288,6,3,1,1250000.0,1.25,4340.277777777777,Rua Mesquita,1544010.0,355030.814000037,CAMBUCI,1.0,0.0,231.0,609.0,2.64,1.78,3769.93,28451827.67,3976.5,29192784.95,2342.67,16231018.02,3024.17,18897850.96
Jardim Panorama,394,4,6,4,2000000.0,2.0,5076.142131979696,Rua Pongada,5679030.0,355030.854000053,MORUMBI,1.0,0.0,70.0,216.0,3.09,2.17,18121.86,1781723643.14,50741.2,1374996829.42,12217.25,976628790.68,40653.97,1436259424.69
Vila Olímpia,200,3,3,2,2900000.0,2.9,14500.0,Avenida Doutor Cardoso de Melo,4548000.0,355030.835000014,ITAIM BIBI,1.0,0.0,281.0,749.0,2.67,1.72,5084.41,22908524.74,5331.04,22704192.5,3386.15,18140427.35,4228.02,19092827.06
Cerqueira César,399,3,5,2,3200000.0,3.2,8020.050125313283,Rua Gabriel de Brito,5411010.0,355030.862000157,PINHEIROS,1.0,0.0,118.0,336.0,2.85,2.76,4621.53,42655148.08,6197.05,47488025.65,2864.25,25064882.82,4537.43,32149908.76
Aclimação,300,4,5,7,2480000.0,2.48,8266.666666666666,Rua Rubi,1530080.0,355030.849000024,LIBERDADE,1.0,0.0,207.0,518.0,2.5,1.46,5746.94,52632721.26,6759.19,55075178.05,3570.67,31069652.92,5006.92,36390622.71
Parque da Mooca,170,3,2,3,1050000.0,1.05,6176.470588235294,Rua Agostinho Lattari,3125080.0,355030.853000085,MOOCA,1.0,0.0,115.0,395.0,3.43,3.04,1627.35,5284186.11,1871.45,5623380.96,918.68,2457938.37,1485.62,3135578.8
Vila Olímpia,205,3,3,2,2900000.0,2.9,14146.341463414634,Avenida Doutor Cardoso de Melo,4548000.0,355030.835000014,ITAIM BIBI,1.0,0.0,281.0,749.0,2.67,1.72,5084.41,22908524.74,5331.04,22704192.5,3386.15,18140427.35,4228.02,19092827.06
Cerqueira César,404,3,5,2,3200000.0,3.2,7920.792079207921,Rua Gabriel de Brito,5411010.0,355030.862000157,PINHEIROS,1.0,0.0,118.0,336.0,2.85,2.76,4621.53,42655148.08,6197.05,47488025.65,2864.25,25064882.82,4537.43,32149908.76
Campo Belo,171,3,2,2,850000.0,0.85,4970.7602339181285,Rua João Álvares Soares,4609000.0,355030.815000097,CAMPO BELO,1.0,0.0,181.0,517.0,2.86,1.47,3942.82,22463540.35,4574.68,23177477.96,3010.16,18406983.6,4136.95,20641771.92
Indianópolis,80,2,2,2,600000.0,0.6,7500.0,Alameda dos Nhambiquaras,4090010.0,355030.832000013,MOEMA,1.0,0.0,174.0,486.0,2.79,1.41,10846.68,151312088.58,11650.14,153171478.52,6088.49,91716009.27,9153.59,109893744.91
Morumbi,546,4,6,4,3500000.0,3.5,6410.25641025641,Rua Emílio Pedutti,5613010.0,355030.854000116,MORUMBI,1.0,0.0,106.0,408.0,3.85,2.28,15305.01,207678423.25,16223.31,205216636.01,6853.75,112947441.16,9649.01,132116006.06
Jardim Marajoara,120,4,4,2,730000.0,0.73,6083.333333333333,Avenida Ministro Álvaro de Souza Lima,4664020.0,355030.816000158,CAMPO GRANDE,1.0,0.0,120.0,385.0,3.21,1.81,5598.48,40752437.38,6220.53,41417144.08,3238.88,23986047.29,4900.21,28166424.32
Cambuci,221,4,2,5,1400000.0,1.4,6334.841628959276,Rua Gama Cerqueira,1539010.0,355030.814000018,CAMBUCI,1.0,0.0,228.0,548.0,2.4,1.78,2814.4,13244519.28,2957.06,13495184.81,1968.24,8537742.84,2416.46,9401027.96
Vila Nova Conceição,110,2,2,1,1500000.0,1.5,13636.363636363636,Rua Professor Atílio Innocenti,4538000.0,355030.83500006,ITAIM BIBI,1.0,0.0,194.0,495.0,2.55,1.88,12007.99,477456112.54,13014.25,504521931.27,6613.07,274455344.01,9483.7,366664250.45
Moema,320,3,1,4,3500000.0,3.5,10937.5,Alameda dos Arapanés,4524000.0,355030.832000018,MOEMA,1.0,0.0,221.0,364.0,1.65,0.83,6830.64,421636923.74,8029.63,486364466.24,5279.55,280172138.5,6662.75,344596971.3
Jardim Paulistano,486,4,2,6,3500000.0,3.5,7201.64609053498,Rua Venceslau Flexa,1445020.0,355030.862000099,PINHEIROS,1.0,0.0,172.0,500.0,2.91,2.9,13995.69,1781723643.14,16488.07,1374996829.42,6433.25,976628790.68,9756.38,1436259424.69
Jardim Paulista,650,4,6,5,7000000.0,7.0,10769.23076923077,Rua Doutor David Campista,1429030.0,355030.845000045,JARDIM PAULISTA,1.0,0.0,284.0,933.0,3.29,2.54,6918.36,116870875.01,7675.06,123873294.66,3194.38,53470273.57,5997.32,83644284.88
Morumbi,726,4,6,6,3000000.0,3.0,4132.231404958678,Rua Ícaro Sydow,5678010.0,355030.854000126,MORUMBI,1.0,0.0,62.0,231.0,3.73,2.69,35612.9,716338519.3,35612.9,716338519.3,12538.99,452586728.93,17750.0,548804095.42
Vila Nova Conceição,490,2,4,2,15500000.0,15.5,31632.65306122449,Rua Januário Cardoso,4507070.0,355030.832000033,MOEMA,1.0,0.0,164.0,489.0,2.98,2.56,10255.49,129824852.46,10382.1,130114929.96,5356.53,75037949.71,7244.22,87845768.0
Vila Mazzei,235,4,4,5,1330000.0,1.33,5659.574468085107,Rua Paulo César,2311240.0,355030.882000114,TUCURUVI,1.0,0.0,101.0,308.0,3.05,2.21,1757.77,4559829.24,2040.63,4718202.21,1238.35,2723876.27,1604.62,2942827.22
Vila Monumento,315,3,2,3,690000.0,0.69,2190.4761904761904,Rua Maranjaí,1549010.0,355030.834000068,IPIRANGA,1.0,0.0,284.0,700.0,2.46,2.0,1217.2,4836026.83,2560.64,6747684.16,1061.85,3574894.9,2139.84,4901417.24
Sumaré,645,3,8,6,3900000.0,3.9,6046.511627906977,Rua Joazeiro,1253030.0,355030.860000017,PERDIZES,1.0,0.0,175.0,477.0,2.73,1.68,4803.91,34012884.5,5189.41,34746330.43,3146.61,25061835.05,3962.07,28335049.37
Cambuci,205,3,2,3,1800000.0,1.8,8780.487804878048,Rua Paulo Orozimbo,1535000.0,355030.849000047,LIBERDADE,1.0,0.0,288.0,746.0,2.59,1.94,4293.78,15979639.63,5006.52,15060094.33,3295.07,13620706.14,4393.43,13334825.71
Jardim Brasil (Zona Sul),405,3,5,3,1490000.0,1.49,3679.012345679013,Rua Tebas,4634030.0,355030.815000113,CAMPO BELO,1.0,0.0,101.0,298.0,2.95,1.97,3516.93,12270903.49,3903.41,12109002.71,2353.08,9478642.7,3167.6,10183004.46
Planalto Paulista,605,4,6,4,6000000.0,6.0,9917.355371900829,Avenida Ireré,4064000.0,355030.877000121,SAÚDE,1.0,0.0,228.0,561.0,2.46,2.22,2477.46,28718884.98,4034.72,40572308.92,1750.51,14909548.82,3093.93,22219607.92
Jardim da Glória,140,2,2,3,950000.0,0.95,6785.714285714285,Rua Cláudio Rossi,1547000.0,355030.890000112,VILA MARIANA,1.0,0.0,282.0,862.0,3.06,2.25,4527.33,64838106.76,5106.83,70199432.02,2505.71,29092736.84,3673.19,38376620.41
Parque Jabaquara,204,4,4,4,1350000.0,1.35,6617.64705882353,Rua Nicolau Zarvos,4356080.0,355030.815000062,CAMPO BELO,1.0,0.0,158.0,483.0,3.06,1.67,2987.61,8954114.96,3301.0,8858199.62,1966.57,6271118.67,2694.26,6632140.38
Santa Cecília,471,8,5,7,2590000.0,2.59,5498.938428874734,Rua Doutor Veiga Filho,1229001.0,355030.826000051,CONSOLAÇÃO,1.0,0.0,254.0,609.0,2.4,1.49,5972.28,22120114.92,6320.67,21204626.33,3780.23,18324811.32,5108.18,17977879.0
Vila Leopoldina,241,2,3,2,1100000.0,1.1,4564.315352697096,Rua Doutor Ambrógio Bonomi,5311050.0,355030.888000018,VILA LEOPOLDINA,1.0,0.0,148.0,422.0,2.85,2.25,2190.91,5118708.15,2236.24,5123276.89,1435.99,3456458.61,1857.04,3688741.64
Jardim da Glória,248,3,4,3,1800000.0,1.8,7258.064516129032,Rua Doutor Valentino Sola,4114010.0,355030.890000083,VILA MARIANA,1.0,0.0,132.0,437.0,3.31,1.91,6810.12,40527300.79,6968.5,40364902.3,3473.68,30454627.0,5116.47,36473824.46
Jardim da Glória,180,3,4,3,1190000.0,1.19,6611.111111111111,Rua José Ubaldo Lomônaco,4114080.0,355030.890000083,VILA MARIANA,1.0,0.0,132.0,437.0,3.31,1.91,6810.12,40527300.79,6968.5,40364902.3,3473.68,30454627.0,5116.47,36473824.46
Fazenda Morumbi,600,4,4,4,2600000.0,2.6,4333.333333333333,Rua Mário Gonçalves de Oliveira,5656030.0,355030.854000057,MORUMBI,1.0,0.0,52.0,177.0,3.4,2.21,17155.77,781283299.4,22874.36,914313009.45,6772.27,306750352.22,13461.95,522332736.89
Fazenda Morumbi,762,4,6,10,4500000.0,4.5,5905.511811023622,Rua Ribeiro Lisboa,5657020.0,355030.88300016,VILA ANDRADE,1.0,0.0,81.0,278.0,3.43,3.35,6396.1,45523397.29,7618.88,44901002.55,3289.19,30645843.71,5772.86,39508997.97
Pacaembu,800,4,7,13,12000000.0,12.0,15000.0,Rua Morro Verde,1245020.0,355030.826000018,CONSOLAÇÃO,1.0,0.0,127.0,458.0,3.61,3.21,7346.93,70416840.49,8639.44,71649790.34,3917.23,36276400.49,5198.33,41497182.86
Vila Mariana,400,4,4,1,1300000.0,1.3,3250.0,Rua Doutor Mário Cardim,4019000.0,355030.890000125,VILA MARIANA,1.0,0.0,138.0,357.0,2.59,1.35,4907.72,24272476.73,5130.8,24230884.74,3407.24,17688928.38,4156.09,18467191.45
Cambuci,170,4,4,2,900000.0,0.9,5294.117647058823,Rua Rolf Laube,1542060.0,355030.814000019,CAMBUCI,1.0,0.0,205.0,575.0,2.8,1.95,2345.6,8691061.72,3615.39,8806053.51,1465.49,4983728.29,2579.44,5901461.98
Butantã,376,3,4,3,2800000.0,2.8,7446.808510638298,Rua Alexandre Marcondes Machado,5506040.0,355030.812000053,BUTANTÃ,1.0,0.0,95.0,341.0,3.59,2.22,8630.42,39191212.59,9645.76,33946474.71,4215.37,30405646.71,6136.8,32483237.54
Vila Anglo Brasileira,200,3,3,2,1400000.0,1.4,7000.0,Rua Gurupá,5027060.0,355030.860000111,PERDIZES,1.0,0.0,430.0,1062.0,2.47,2.11,1287.86,1206569.36,1476.75,1104322.13,1113.17,1335161.76,1464.25,1242045.06
Brooklin Paulista,500,4,6,5,3000000.0,3.0,6000.0,Rua Pirandello,4623000.0,355030.815000116,CAMPO BELO,1.0,0.0,160.0,486.0,3.04,1.95,8163.75,238073646.23,11559.29,298379042.35,4014.07,100198251.41,7728.34,164474403.07
Jardim Guedala,425,3,6,6,3500000.0,3.5,8235.29411764706,Rua Sanharó,5611060.0,355030.854000007,MORUMBI,1.0,0.0,99.0,329.0,3.32,2.57,11740.12,146755472.35,12633.39,146635312.9,6203.44,120517159.54,9399.15,152727458.42
Planalto Paulista,300,3,5,4,1500000.0,1.5,5000.0,Avenida Piassanguaba,4060000.0,355030.877000128,SAÚDE,1.0,0.0,191.0,599.0,3.14,2.64,3996.13,28056671.23,5263.86,30299687.76,2248.81,17231433.36,4011.58,23687970.63
Alto de Pinheiros,473,4,6,4,7243185.0,7.243185,15313.28752642706,Avenida Professor Fonseca Rodrigues,5461010.0,355030.802000016,ALTO DE PINHEIROS,1.0,0.0,109.0,367.0,3.37,2.36,12502.68,180769281.13,13627.92,181713260.52,5879.01,92270692.94,8384.42,110664067.05
Aclimação,234,3,1,2,1580000.0,1.58,6752.136752136752,Rua Antero Mendes Leite,4108020.0,355030.89000004,VILA MARIANA,1.0,0.0,236.0,669.0,2.83,2.2,3745.68,20105332.65,3999.91,20454623.05,2319.23,11564451.88,3045.5,12976974.19
Morumbi,550,4,4,6,3600000.0,3.6,6545.454545454545,Praça Santos Coimbra,5614050.0,355030.854000017,MORUMBI,1.0,0.0,106.0,368.0,3.47,2.02,10690.47,95863644.54,10896.06,95463249.36,5138.18,56954318.03,7531.31,65496612.35
Jardim da Glória,230,5,4,3,999999.0,0.999999,4347.821739130435,Rua Professor Brasil Machado de Campos,1547080.0,355030.890000147,VILA MARIANA,1.0,0.0,172.0,477.0,2.77,2.06,2755.58,8236227.15,2999.75,8233568.09,1761.9,5631272.95,2479.28,6147215.82
Planalto Paulista,200,4,3,6,1300000.0,1.3,6500.0,Alameda dos Araés,4066000.0,355030.877000099,SAÚDE,1.0,0.0,256.0,720.0,2.81,1.6,4249.33,24499871.44,5180.14,25047413.33,2618.76,17705032.31,3977.93,21495997.85
Cambuci,210,4,4,3,1300000.0,1.3,6190.476190476191,Rua Antônio Tavares,1542010.0,355030.849000073,LIBERDADE,1.0,0.0,222.0,572.0,2.58,1.65,2561.55,8730698.54,3159.24,8880429.09,2023.17,6538803.59,2738.12,6892763.09
Jardim da Glória,240,2,3,2,745000.0,0.745,3104.1666666666665,Rua Cláudio Rossi,1547000.0,355030.890000112,VILA MARIANA,1.0,0.0,282.0,862.0,3.06,2.25,4527.33,64838106.76,5106.83,70199432.02,2505.71,29092736.84,3673.19,38376620.41
Itaim Bibi,240,2,4,2,2300000.0,2.3,9583.333333333334,Rua Nigéria,4538020.0,355030.83500006,ITAIM BIBI,1.0,0.0,201.5,505.625,2.59875,1.8825,7211.60625,152393380.97250003,8178.981249999999,158096323.71749997,4408.7787499999995,91758780.16375001,6251.250000000001,116955885.8525
Vila Mariana,280,3,2,3,850000.0,0.85,3035.714285714286,Rua Andronico,4113140.0,355030.890000113,VILA MARIANA,1.0,0.0,188.0,634.0,3.37,2.23,4970.94,34590015.85,5163.18,34937066.75,2515.52,18065698.74,3646.53,22074354.68
